arise,arose,arisen,surgir,11
be,was/were,been,"ser, estar",13
bear,bore,born,soportar,12
beat,beat,beaten,batir,17
become,became,become,convertirse,8
begin,began,begun,empezar,1
bend,bent,bent,doblar,4
beseech,besought,besought,implorar,7
bet,bet,bet,apostar,3
bid,bid,bid,pujar,3
bind,bound,bound,amarrar,10
bite,bit,bitten,morder,17
bleed,bled,bled,sangrar,6
blow,blew,blown,soplar,2
break,broke,broken,romper,5
breed,bred,bred,criar,6
bring,brought,brought,traer,7
broadcast,broadcast,broadcast,retransmitir,3
build,built,built,contruir,4
burn,burnt,burnt,quemar,14
burst,burst,burst,explotar,3
bust,bust,bust,destrozar,3
buy,bought,bought,comprar,7
cast,cast,cast,lanzar,3
catch,caught,caught,coger,15
choose,chose,chosen,elegir,5
come,came,come,venir,8
cost,cost,cost,costar,3
creep,crept,crept,arrastrarse,6
cut,cut,cut,cortar,3
deal,dealt,dealt,tratar,6
dig,dug,dug,cavar,9
do,did,done,hacer,13
draw,drew,drawn,dibujar,13
dream,dreamt,dreamt ,soñar,6
drink,drank,drunk,beber,1
drive,drove,driven,conducir,5
dwell,dwelt ,dwelt,morar,6
eat,ate,eaten,comer,17
fall,fell,fallen,caer,13
feed,fed,fed,alimentar,6
feel,felt,felt,sentir,6
fight,fought,fought,luchar,7
find,found,found,encontrar,10
flee,fled,fled,escapar,6
fling,flung,flung,arrojar,9
fly,flew,flown,volar,2
forbid,forbade,forbidden,prohibir,20
forecast,forecast,forecast,prever,3
forget,forgot,forgotten,olvidar,17
forgive,forgave,forgiven,perdonar,19
forsake,forsook,forsaken,renegar,16
freeze,froze,frozen,congelar,5
get,got,got,conseguir,18
give,gave,given,dar,19
go,went,gone,ir,13
grind,ground,ground,moler,10
grow,grew,grown,crecer,2
hang,hung,hung,colgar,9
have,had,had,tener,18
hear,heard,heard,oír,18
hide,hid,hidden,esconder,17
hit,hit,hit,golpear,3
hold,held,held,sujetar,6
hurt,hurt,hurt,herir,3
keep,kept,kept,guardar,6
kneel,knelt,knelt,arrodillarse,6
knit,knit,knit,tejer,3
know,knew,known,saber,2
lay,laid,laid,poner horizontal,18
lead,led,led,liderar,6
lean,leant,leant ,apoyarse,14
leap,leapt,leapt,saltar,14
learn,learnt ,learnt ,aprender,14
leave,left,left,dejar,18
lend,lent,lent,prestar,4
let,let,let,permitir,3
lie,lay,lain,tumbarse,13
light,lit,lit,encender,18
lose,lost,lost,perder,18
make,made,made,fabricar,18
mean,meant,meant,significar,18
meet,met,met,conocer,6
pay,paid,paid,pagar,18
quit,quit,quit,parar de,3
read,read,read,leer,3
rid,rid,rid,librar de,3
ride,rode,ridden,montar,17
ring,rang,rung,hacer sonar,1
rise,rose,risen,levantarse,11
run,ran,run,correr,1
say,said,said,decir,18
see,saw,seen,ver,13
seek,sought,sought,buscar,7
sell,sold,sold,vender,22
send,sent,sent,enviar,4
set,set,set,colocar,3
shake,shook,shaken,agitar,16
shed,shed,shed,derramar,3
shine,shone,shone,brillar,20
shoot,shot,shot,disparar,20
show,showed,shown,mostrar,13
shrink,shrank,shrunk,encoger,1
shut,shut,shut,cerrar,3
sing,sang,sung,cantar,1
sink,sank,sunk,hundir,1
sit,sat,sat,sentarse,20
slay,slew,slain,asesinar,13
sleep,slept,slept,dormir,6
slide,slid,slid,deslizar,20
sling,slung,slung,lanzar,9
slink,slunk,slunk,escabullirse,9
slit,slit,slit,rajar,3
smell,smelt,smelt,oler,6
speak,spoke,spoken,hablar,5
speed,sped,sped,acelerar,6
spell,spelt,spelt,deletrear,6
spend,spent,spent,gastar,4
spill,spilt,spilt,derramar,6
spin,spun,spun,girar,9
spit,spat,spat,escupir,20
split,split,split,dividir,3
spoil,spoilt ,spoilt,echar a perder,6
spread,spread,spread,extender,3
spring,sprang,sprung,brincar,1
stand,stood,stood,estar de pie,18
steal,stole,stolen,robar,5
stick,stuck,stuck,pegar,9
sting,stung,stung,picar,9
stink,stank,stunk,apestar,1
stride,strode,stridden,dar zancadas,20
strike,struck,struck,atacar,9
string,strung,strung,ensartar,9
strive,strove,striven,esforzarse,19
swear,swore,sworn,jurar,12
sweep,swept,swept,barrer,6
swell,swelled,swollen,hinchar,13
swim,swam,swum,nadar,1
swing,swung,swung,balancear,9
take,took,taken,tomar,5
teach,taught,taught,enseñar,15
tear,tore,torn,rasgar,12
tell,told,told,contar,22
throw,threw,thrown,tirar,2
thrust,thrust,thrust,impulsar,3
tread,trod,trodden,pisar,20
wake,woke,woken,despertar,5
wear,wore,worn,llevar puesto,12
weave,wove,woven,trenzar,5
weep,wept,wept,llorar,6
win,won,won,ganar,18
wind,wound,wound,enrollar,10
wring,wrung,wrung,retorcer,9
write,wrote,written,escribir,17
